State,State Abbr,County,GEO id2,GEO display_label,Households,Poverty_Percentage,ALICE_Percentage,Below_ALICE_Threshold_Percentage,Above_ALICE_Percentage
Idaho,ID,Camas,16025.0,"Camas County, Idaho",339,11.21,48.67,59.88,40.12
Idaho,ID,Canyon,16027.0,"Canyon County, Idaho",88688,9.1,37.77,46.87,53.13
Idaho,ID,Caribou,16029.0,"Caribou County, Idaho",2430,9.55,34.98,44.53,55.47
Idaho,ID,Cassia,16031.0,"Cassia County, Idaho",8238,11.57,32.16,43.72,56.28
Idaho,ID,Clark,16033.0,"Clark County, Idaho",252,8.33,50.4,58.73,41.27
Idaho,ID,Clearwater,16035.0,"Clearwater County, Idaho",3561,12.72,39.57,52.29,47.71
Idaho,ID,Custer,16037.0,"Custer County, Idaho",1933,9.73,41.65,51.37,48.63
Idaho,ID,Elmore,16039.0,"Elmore County, Idaho",10848,11.38,35.97,47.35,52.65
Idaho,ID,Franklin,16041.0,"Franklin County, Idaho",4870,12.51,31.95,44.46,55.54
Idaho,ID,Fremont,16043.0,"Fremont County, Idaho",4506,9.23,27.47,36.71,63.29
Idaho,ID,Gem,16045.0,"Gem County, Idaho",7406,11.69,30.84,42.53,57.47
Idaho,ID,Gooding,16047.0,"Gooding County, Idaho",5512,11.34,36.96,48.29,51.71
Idaho,ID,Idaho,16049.0,"Idaho County, Idaho",6567,13.17,37.57,50.74,49.26
Idaho,ID,Jefferson,16051.0,"Jefferson County, Idaho",9899,10.29,25.98,36.28,63.72
Idaho,ID,Jerome,16053.0,"Jerome County, Idaho",8198,14.42,31.06,45.47,54.53
Idaho,ID,Kootenai,16055.0,"Kootenai County, Idaho",74253,8.98,32.9,41.88,58.12
Idaho,ID,Latah,16057.0,"Latah County, Idaho",16058,17.14,22.26,39.41,60.59
Idaho,ID,Lemhi,16059.0,"Lemhi County, Idaho",3350,15.19,40.84,56.03,43.97
Idaho,ID,Lewis,16061.0,"Lewis County, Idaho",1546,16.3,40.23,56.53,43.47
Idaho,ID,Lincoln,16063.0,"Lincoln County, Idaho",1836,12.8,30.61,43.41,56.59
Idaho,ID,Madison,16065.0,"Madison County, Idaho",12778,25.34,38.43,63.77,36.23
Idaho,ID,Minidoka,16067.0,"Minidoka County, Idaho",7814,15.4,24.29,39.69,60.31
Idaho,ID,Nez Perce,16069.0,"Nez Perce County, Idaho",17250,12.7,30.99,43.69,56.31
Idaho,ID,Oneida,16071.0,"Oneida County, Idaho",1932,12.94,25.1,38.04,61.96
Idaho,ID,Owyhee,16073.0,"Owyhee County, Idaho",4248,12.34,42.87,55.2,44.8
Idaho,ID,Payette,16075.0,"Payette County, Idaho",9481,10.35,36.64,46.99,53.01
Idaho,ID,Power,16077.0,"Power County, Idaho",2708,10.12,42.1,52.22,47.78
Idaho,ID,Shoshone,16079.0,"Shoshone County, Idaho",5679,15.51,35.82,51.33,48.67
Idaho,ID,Teton,16081.0,"Teton County, Idaho",4573,9.08,24.78,33.85,66.15
Idaho,ID,Twin Falls,16083.0,"Twin Falls County, Idaho",35050,9.0,32.1,41.1,58.9
Idaho,ID,Valley,16085.0,"Valley County, Idaho",3778,13.87,26.26,40.13,59.87
Idaho,ID,Washington,16087.0,"Washington County, Idaho",4089,16.19,44.31,60.5,39.5
Montana,MT,Beaverhead,30001.0,"Beaverhead County, Montana",4121,16.94,26.62,43.56,56.44
Montana,MT,Big Horn,30003.0,"Big Horn County, Montana",3691,18.34,40.42,58.76,41.24
Montana,MT,Blaine,30005.0,"Blaine County, Montana",2297,19.29,28.47,47.76,52.24
